codigo_provincia,codigo_departamento,codigo_circuito,codigo_mesa,codigo_partido,votos
1,1,2,36,3003,0
1,1,2,36,3004,0
1,1,2,36,234,2
1,1,2,36,324,2
1,1,2,36,325,1
1,1,2,36,501,59
1,1,2,36,3005,15
1,1,2,36,3006,28
1,1,2,36,3007,2
1,1,2,36,3008,0
1,1,2,36,503,56
1,1,2,36,3009,0
1,1,2,36,505,6
1,1,2,36,506,3
1,1,2,37,9001,342
1,1,2,37,9002,244
1,1,2,37,9003,0
1,1,2,37,9004,5
1,1,2,37,9005,7
1,1,2,37,9006,0
1,1,2,37,8,4
1,1,2,37,68,11
1,1,2,37,187,7
1,1,2,37,3001,0
1,1,2,37,3002,0
1,1,2,37,3003,0
1,1,2,37,3004,2
1,1,2,37,234,1
1,1,2,37,324,1
1,1,2,37,325,4
1,1,2,37,501,70
1,1,2,37,3005,14
1,1,2,37,3006,13
1,1,2,37,3007,28
1,1,2,37,3008,1
1,1,2,37,503,52
1,1,2,37,3009,4
1,1,2,37,505,11
1,1,2,37,506,9
1,1,2,38,9001,341
1,1,2,38,9002,232
1,1,2,38,9003,0
1,1,2,38,9004,1
1,1,2,38,9005,2
1,1,2,38,9006,3
1,1,2,38,8,0
1,1,2,38,68,7
1,1,2,38,187,5
1,1,2,38,3001,1
1,1,2,38,3002,0
1,1,2,38,3003,0
1,1,2,38,3004,2
1,1,2,38,234,5
1,1,2,38,324,0
1,1,2,38,325,3
1,1,2,38,501,76
1,1,2,38,3005,11
1,1,2,38,3006,10
1,1,2,38,3007,21
1,1,2,38,3008,0
1,1,2,38,503,62
1,1,2,38,3009,3
1,1,2,38,505,13
1,1,2,38,506,7
1,1,2,39,9001,344
1,1,2,39,9002,0
1,1,2,39,9003,0
1,1,2,39,9004,0
1,1,2,39,9005,4
1,1,2,39,9006,0
1,1,2,39,8,0
1,1,2,39,68,7
1,1,2,39,187,9
1,1,2,39,3001,2
1,1,2,39,3002,0
1,1,2,39,3003,0
1,1,2,39,3004,0
1,1,2,39,234,0
1,1,2,39,324,0
1,1,2,39,325,1
1,1,2,39,501,65
1,1,2,39,3005,11
1,1,2,39,3006,18
1,1,2,39,3007,26
1,1,2,39,3008,3
1,1,2,39,503,58
1,1,2,39,3009,9
1,1,2,39,505,6
1,1,2,39,506,5
1,1,2,40,9001,342
1,1,2,40,9002,247
1,1,2,40,9003,0
1,1,2,40,9004,3
1,1,2,40,9005,3
1,1,2,40,9006,0
1,1,2,40,8,0
1,1,2,40,68,2
1,1,2,40,187,8
1,1,2,40,3001,0
1,1,2,40,3002,0
1,1,2,40,3003,0
1,1,2,40,3004,4
1,1,2,40,234,1
1,1,2,40,324,3
1,1,2,40,325,1
1,1,2,40,501,74
1,1,2,40,3005,14
1,1,2,40,3006,21
1,1,2,40,3007,27
1,1,2,40,3008,1
1,1,2,40,503,61
1,1,2,40,3009,5
1,1,2,40,505,14
1,1,2,40,506,5
1,1,2,41,9001,342
1,1,2,41,9002,248
1,1,2,41,9003,0
1,1,2,41,9004,7
1,1,2,41,9005,8
1,1,2,41,9006,0
1,1,2,41,8,1
1,1,2,41,68,2
1,1,2,41,187,8
1,1,2,41,3001,0
1,1,2,41,3002,0
1,1,2,41,3003,0
1,1,2,41,3004,0
1,1,2,41,234,4
1,1,2,41,324,2
1,1,2,41,325,2
1,1,2,41,501,67
1,1,2,41,3005,13
1,1,2,41,3006,21
