codigo_provincia,provincia,codigo_departamento,departamento,codigo_partido,partido,lista_interna,agrupacion,votos
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,349
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3005,UNEN,LISTA JUNTOS,502,8204
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3006,UNEN,LISTA SUMA MAS,502,14082
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3007,UNEN,LISTA COALICION SUR,502,17917
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3008,UNEN,LISTA PRESIDENTE ILLIA,502,859
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504,2880
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,9001,ELECTORES,,9001,171863
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,9002,VOTANTES,,9002,116048
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,9003,VOTOS IMPUGNADOS,,9003,114
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,9004,VOTOS BLANCOS,,9004,2241
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,9005,VOTOS NULOS,,9005,1981
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,9006,VOTOS RECURRIDOS,,9006,51
1,CIUDAD AUTÓNOMA BS.AS.,7,Comuna 7,9007,EMPADRONADOS,,9007,172213
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,8,PARTIDO FEDERAL,,8,426
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,68,NUEVA IZQUIERDA,,68,1393
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,187,AUTODETERMINACION Y LIBERTAD,,187,2089
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,234,MOVIMIENTO AL SOCIALISMO,,234,1167
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,324,PARTIDO FE,,324,818
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,1237
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,501,FRENTE PARA LA VICTORIA,,501,29465
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,503,UNION PRO,,503,30836
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,3988
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,506,CAMINO POPULAR,,506,1564
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,836
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,159
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,147
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,468
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3005,UNEN,LISTA JUNTOS,502,2828
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3006,UNEN,LISTA SUMA MAS,502,6839
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3007,UNEN,LISTA COALICION SUR,502,10951
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3008,UNEN,LISTA PRESIDENTE ILLIA,502,722
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504,3540
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,9001,ELECTORES,,9001,134726
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,9002,VOTANTES,,9002,104062
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,9003,VOTOS IMPUGNADOS,,9003,123
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,9004,VOTOS BLANCOS,,9004,2007
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,9005,VOTOS NULOS,,9005,1692
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,9006,VOTOS RECURRIDOS,,9006,36
1,CIUDAD AUTÓNOMA BS.AS.,8,Comuna 8,9007,EMPADRONADOS,,9007,135767
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,8,PARTIDO FEDERAL,,8,451
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,68,NUEVA IZQUIERDA,,68,1957
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,187,AUTODETERMINACION Y LIBERTAD,,187,2827
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,234,MOVIMIENTO AL SOCIALISMO,,234,1138
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,324,PARTIDO FE,,324,445
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,852
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,501,FRENTE PARA LA VICTORIA,,501,26099
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,503,UNION PRO,,503,34242
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,4537
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,506,CAMINO POPULAR,,506,2546
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,783
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,118
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,128
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,337
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3005,UNEN,LISTA JUNTOS,502,4899
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3006,UNEN,LISTA SUMA MAS,502,10428
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3007,UNEN,LISTA COALICION SUR,502,15607
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3008,UNEN,LISTA PRESIDENTE ILLIA,502,1029
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504,3458
1,CIUDAD AUTÓNOMA BS.AS.,9,Comuna 9,9001,ELECTORES,,9001,146174
