codigo_partido,partido,lista_interna,agrupacion
3319,FRENTE PROGRESISTA CIVICO Y SOCIAL,RENOVACION Y CAMBIO PROGRESISTA - MS,514
3320,FRENTE PROGRESISTA CIVICO Y SOCIAL,RENOVACION PROGRESISTA - PA,514
3321,FRENTE PROGRESISTA CIVICO Y SOCIAL,ROJO Y BLANCO - GC,514
3322,FRENTE PROGRESISTA CIVICO Y SOCIAL,ACUERDO CIVICO - MB,514
3323,FRENTE PARA LA VICTORIA,LISTA 2 - CELESTE Y BLANCA K,501
3324,FRENTE PARA LA VICTORIA,LISTA 4 - CELESTE Y BLANCA K,501
3325,FRENTE PROGRESISTA CIVICO Y SOCIAL,MAS ADOLFO ALSINA - MD,514
3326,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISMO Y HONESTIDAD - S,514
3327,FRENTE PROGRESISTA CIVICO Y SOCIAL,TRANSPARENCIA SOLIDARIDAD Y PARTICIPACION - B,514
3328,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDAD PROGRESISTA PARA EL CAMBIO - JW,514
3329,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA - J,514
3330,FRENTE PROGRESISTA CIVICO Y SOCIAL,INTEGRACION PROGRESISTA LA PLATA - GU,514
3331,FRENTE PROGRESISTA CIVICO Y SOCIAL,RENOVACION - MK,514
3332,FRENTE CIUDAD NUEVA,PATRIA GRANDE,348
3333,FRENTE CIUDAD NUEVA,UNION DEL PUEBLO,348
3334,UNIDOS POR LA LIBERTAD Y EL TRABAJO,LISTA CELESTE,507
3335,UNION CON FE,UNION CON FE,513
3336,FRENTE PROGRESISTA CIVICO Y SOCIAL,HONESTIDAD Y COMPROMISO SOCIAL - C,514
3337,COMPROMISO FEDERAL,UNIDAD ES POSIBLE,504
3338,FRENTE PROGRESISTA CIVICO Y SOCIAL,SOLO HAY HAY CAMBIO SI QUERES - JQ,514
3339,FRENTE PROGRESISTA CIVICO Y SOCIAL,SAN MARTIN HONESTIDAD Y TRABAJO - GL,514
3340,FRENTE PROGRESISTA CIVICO Y SOCIAL,RESISTENCIA MILITANTE - MY,514
3341,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,LINEA AZUL - 9,349
3342,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,LINEA BLANCA Y CELESTE - 4,349
3343,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,LINEA BLANCA Y AZUL - 8,349
3344,UNION CON FE,UNION CON FE - 01 - A,513
3345,UNION CON FE,UCF01SMI 02 - B,513
3346,FRENTE PROGRESISTA CIVICO Y SOCIAL,PARTICIPACION Y TRANSPARENCIA - H,514
3347,FRENTE RENOVADOR,RENOVACION PROVINCIAL LISTA - 4,510
3348,UNIDOS POR LA LIBERTAD Y EL TRABAJO,LISTA BLANCA,507
3349,FRENTE PROGRESISTA CIVICO Y SOCIAL,INTEGRACION SOCIAL - NR,514
3350,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA DE MERLO - HM,514
3351,FRENTE PROGRESISTA CIVICO Y SOCIAL,FUTURO PARA MORENO - JS,514
3352,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA MORENO - W,514
3353,FRENTE PROGRESISTA CIVICO Y SOCIAL,COALICION CIVICA - F,514
3354,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE AMPLIO POR  MORON - G,514
3355,FRENTE PROGRESISTA CIVICO Y SOCIAL,PARTICIPACION E IGUALDAD - GO,514
3356,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDOS POR SAN ISIDRO - JG,514
3357,FRENTE PROGRESISTA CIVICO Y SOCIAL,ACCION POR TIGRE - HQ,514
3358,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISTAS 3 DE FEBRERO - MZ,514
3359,FRENTE PROGRESISTA CIVICO Y SOCIAL,U. PROGRESISTA 3 DE FEBRERO - NM,514
3360,FRENTE PROGRESISTA CIVICO Y SOCIAL,D I X TRES DE FEBRERO - NZ,514
3361,FRENTE PROGRESISTA CIVICO Y SOCIAL,EL ATENEO - MR,514
3362,FRENTE PROGRESISTA CIVICO Y SOCIAL,SOCIALISTA 3 DE FEBRERO - I,514
3363,FRENTE PROGRESISTA CIVICO Y SOCIAL,1983 - L,514
3364,FRENTE PROGRESISTA CIVICO Y SOCIAL,CREER VICENTE LOPEZ - AI,514
3365,FRENTE PROGRESISTA CIVICO Y SOCIAL,LINEA MORADA - HC,514
3366,FRENTE PROGRESISTA CIVICO Y SOCIAL,VAMOS CON LUIS - MP,514
3367,FRENTE PROGRESISTA CIVICO Y SOCIAL,INTEGRACION POR ITUZAINGO - MQ,514
3368,FRENTE PROGRESISTA CIVICO Y SOCIAL,EL PRESENTE DEL FUTURO - M,514
3369,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA ARRECIFES - HR,514
3370,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA C. SARMIENTO - HR,514
3371,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA CARMEN DE ARECO - NH,514
3372,FRENTE PROGRESISTA CIVICO Y SOCIAL,FIDELIDAD IDEOLOGICA - GS,514
3373,FRENTE PROGRESISTA CIVICO Y SOCIAL,UN FUTURO PARA COLON - JB,514
3374,FRENTE PROGRESISTA CIVICO Y SOCIAL,RECONSTRUCCION - JV,514
3375,FRENTE PROGRESISTA CIVICO Y SOCIAL,FE-FUTURO EXALTACION - R,514
3376,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PROGRESISTA EXALTACION - GW,514
3377,FRENTE PROGRESISTA CIVICO Y SOCIAL,PRIMERO RAMALLO - GH,514
3378,FRENTE PROGRESISTA CIVICO Y SOCIAL,ROJAS 2015 - JI,514
3379,FRENTE PROGRESISTA CIVICO Y SOCIAL,SIEMPRE - HS,514
3380,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE DE UNIDAD DE S. A. DE GILES - JR,514
3381,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE POR SAN NICOLAS - JK,514
3382,FRENTE PROGRESISTA CIVICO Y SOCIAL,INTEGRACION FEDERAL - HI,514
3383,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE DE TODOS - NW,514
3384,FRENTE PROGRESISTA CIVICO Y SOCIAL,EL CAMBIO ES HOY - HH,514
3385,FRENTE PROGRESISTA CIVICO Y SOCIAL,U. PROGRESISTA ZARATE - HX,514
3386,FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE PROGRESISTA AVELLANEDA - NG,514
3387,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNIDOS POR MAS BERAZATEGUI - HL,514
3388,FRENTE PROGRESISTA CIVICO Y SOCIAL,TODOS POR BERAZATEGUI - NH,514
3389,FRENTE PROGRESISTA CIVICO Y SOCIAL,UNION PARA LA GENTE - LC,514
3390,FRENTE PROGRESISTA CIVICO Y SOCIAL,BRANDSEN PROGRESISTA - HA,514
3391,FRENTE PROGRESISTA CIVICO Y SOCIAL,PROGRESISMO BS AS ENSENADA - NI,514
